Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D3.0mm_Clear,5.453182,54.848807,84.375,bottom
D2,LED,LED_D3.0mm_Clear,16.048872,52.73104,73.125,bottom
D3,LED,LED_D3.0mm_Clear,26.027813,48.586848,61.875,bottom
D4,LED,LED_D3.0mm_Clear,35.00652,42.575491,50.625,bottom
D5,LED,LED_D3.0mm_Clear,42.639946,34.927982,39.375,bottom
D6,LED,LED_D3.0mm_Clear,48.634743,25.93821,28.125,bottom
D7,LED,LED_D3.0mm_Clear,52.760534,15.951647,16.875,bottom
D8,LED,LED_D3.0mm_Clear,54.858767,5.352071,5.625,bottom
D9,LED,LED_D3.0mm_Clear,54.848808,-5.453182,-5.625,bottom
D10,LED,LED_D3.0mm_Clear,52.731041,-16.048872,-16.875,bottom
D11,LED,LED_D3.0mm_Clear,48.586849,-26.027813,-28.125,bottom
D12,LED,LED_D3.0mm_Clear,42.575492,-35.00652,-39.375,bottom
D13,LED,LED_D3.0mm_Clear,34.927983,-42.639946,-50.625,bottom
D14,LED,LED_D3.0mm_Clear,25.938211,-48.634743,-61.875,bottom
D15,LED,LED_D3.0mm_Clear,15.951648,-52.760534,-73.125,bottom
D16,LED,LED_D3.0mm_Clear,5.352072,-54.858767,-84.375,bottom
D17,LED,LED_D3.0mm_Clear,-5.453181,-54.848809,-95.625,bottom
D18,LED,LED_D3.0mm_Clear,-16.048871,-52.731042,-106.875,bottom
D19,LED,LED_D3.0mm_Clear,-26.027812,-48.58685,-118.125,bottom
D20,LED,LED_D3.0mm_Clear,-35.006519,-42.575493,-129.375,bottom
D21,LED,LED_D3.0mm_Clear,-42.639945,-34.927984,-140.625,bottom
D22,LED,LED_D3.0mm_Clear,-48.634742,-25.938212,-151.875,bottom
D23,LED,LED_D3.0mm_Clear,-52.760533,-15.951649,-163.125,bottom
D24,LED,LED_D3.0mm_Clear,-54.858766,-5.352073,-174.375,bottom
D25,LED,LED_D3.0mm_Clear,-54.848808,5.45318,174.375,bottom
D26,LED,LED_D3.0mm_Clear,-52.731041,16.04887,163.125,bottom
D27,LED,LED_D3.0mm_Clear,-48.58685,26.027811,151.875,bottom
