Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_D3.0mm_Clear",5.453182,54.848807,84.375000,bottom
"D2","LED","LED_D3.0mm_Clear",16.048872,52.731040,73.125000,bottom
"D3","LED","LED_D3.0mm_Clear",26.027813,48.586848,61.875000,bottom
"D4","LED","LED_D3.0mm_Clear",35.006520,42.575491,50.625000,bottom
"D5","LED","LED_D3.0mm_Clear",42.639946,34.927982,39.375000,bottom
"D6","LED","LED_D3.0mm_Clear",48.634743,25.938210,28.125000,bottom
"D7","LED","LED_D3.0mm_Clear",52.760534,15.951647,16.875000,bottom
"D8","LED","LED_D3.0mm_Clear",54.858767,5.352071,5.625000,bottom
"D9","LED","LED_D3.0mm_Clear",54.848808,-5.453182,-5.625000,bottom
"D10","LED","LED_D3.0mm_Clear",52.731041,-16.048872,-16.875000,bottom
"D11","LED","LED_D3.0mm_Clear",48.586849,-26.027813,-28.125000,bottom
"D12","LED","LED_D3.0mm_Clear",42.575492,-35.006520,-39.375000,bottom
"D13","LED","LED_D3.0mm_Clear",34.927983,-42.639946,-50.625000,bottom
"D14","LED","LED_D3.0mm_Clear",25.938211,-48.634743,-61.875000,bottom
"D15","LED","LED_D3.0mm_Clear",15.951648,-52.760534,-73.125000,bottom
"D16","LED","LED_D3.0mm_Clear",5.352072,-54.858767,-84.375000,bottom
"D17","LED","LED_D3.0mm_Clear",-5.453181,-54.848809,-95.625000,bottom
"D18","LED","LED_D3.0mm_Clear",-16.048871,-52.731042,-106.875000,bottom
"D19","LED","LED_D3.0mm_Clear",-26.027812,-48.586850,-118.125000,bottom
"D20","LED","LED_D3.0mm_Clear",-35.006519,-42.575493,-129.375000,bottom
"D21","LED","LED_D3.0mm_Clear",-42.639945,-34.927984,-140.625000,bottom
"D22","LED","LED_D3.0mm_Clear",-48.634742,-25.938212,-151.875000,bottom
"D23","LED","LED_D3.0mm_Clear",-52.760533,-15.951649,-163.125000,bottom
"D24","LED","LED_D3.0mm_Clear",-54.858766,-5.352073,-174.375000,bottom
"D25","LED","LED_D3.0mm_Clear",-54.848808,5.453180,174.375000,bottom
"D26","LED","LED_D3.0mm_Clear",-52.731041,16.048870,163.125000,bottom
"D27","LED","LED_D3.0mm_Clear",-48.586850,26.027811,151.875000,bottom
"D28","LED","LED_D3.0mm_Clear",-42.575493,35.006518,140.625000,bottom
"D29","LED","LED_D3.0mm_Clear",-34.927984,42.639944,129.375000,bottom
"D30","LED","LED_D3.0mm_Clear",-25.938212,48.634741,118.125000,bottom
"D31","LED","LED_D3.0mm_Clear",-15.951649,52.760532,106.875000,bottom
"D32","LED","LED_D3.0mm_Clear",-5.352073,54.858766,95.625000,bottom
"J1","Conn_01x04_Socket","PinSocket_1x04_P2.54mm_Horizontal",3.875400,38.747000,90.000000,bottom
"Q1","Q_Photo_NPN","LED_D3.0mm_Clear",0.050800,57.669200,-90.000000,bottom
"Q2","Q_Photo_NPN","LED_D3.0mm_Clear",11.300527,56.551192,-101.250000,bottom
"Q3","Q_Photo_NPN","LED_D3.0mm_Clear",22.115981,53.259953,-112.500000,bottom
"Q4","Q_Photo_NPN","LED_D3.0mm_Clear",32.081530,47.921964,-123.750000,bottom
"Q5","Q_Photo_NPN","LED_D3.0mm_Clear",40.814204,40.742361,-135.000000,bottom
"Q6","Q_Photo_NPN","LED_D3.0mm_Clear",47.978411,31.997052,-146.250000,bottom
"Q7","Q_Photo_NPN","LED_D3.0mm_Clear",53.298834,22.022114,-157.500000,bottom
"Q8","Q_Photo_NPN","LED_D3.0mm_Clear",56.571013,11.200879,-168.750000,bottom
"Q9","Q_Photo_NPN","LED_D3.0mm_Clear",57.669200,-0.050800,180.000000,bottom
"Q10","Q_Photo_NPN","LED_D3.0mm_Clear",56.551192,-11.300527,168.750000,bottom
"Q11","Q_Photo_NPN","LED_D3.0mm_Clear",53.259953,-22.115981,157.500000,bottom
"Q12","Q_Photo_NPN","LED_D3.0mm_Clear",47.921964,-32.081530,146.250000,bottom
"Q13","Q_Photo_NPN","LED_D3.0mm_Clear",40.742361,-40.814204,135.000000,bottom
"Q14","Q_Photo_NPN","LED_D3.0mm_Clear",31.997052,-47.978411,123.750000,bottom
"Q15","Q_Photo_NPN","LED_D3.0mm_Clear",22.022114,-53.298834,112.500000,bottom
"Q16","Q_Photo_NPN","LED_D3.0mm_Clear",11.200879,-56.571013,101.250000,bottom
"Q17","Q_Photo_NPN","LED_D3.0mm_Clear",-0.050800,-57.669200,90.000000,bottom
"Q18","Q_Photo_NPN","LED_D3.0mm_Clear",-11.300527,-56.551192,78.750000,bottom
"Q19","Q_Photo_NPN","LED_D3.0mm_Clear",-22.115981,-53.259953,67.500000,bottom
"Q20","Q_Photo_NPN","LED_D3.0mm_Clear",-32.081530,-47.921964,56.250000,bottom
"Q21","Q_Photo_NPN","LED_D3.0mm_Clear",-40.814204,-40.742361,45.000000,bottom
"Q22","Q_Photo_NPN","LED_D3.0mm_Clear",-47.978411,-31.997052,33.750000,bottom
"Q23","Q_Photo_NPN","LED_D3.0mm_Clear",-53.298834,-22.022114,22.500000,bottom
"Q24","Q_Photo_NPN","LED_D3.0mm_Clear",-56.571013,-11.200879,11.250000,bottom
"Q25","Q_Photo_NPN","LED_D3.0mm_Clear",-57.669200,0.050800,0.000000,bottom
"Q26","Q_Photo_NPN","LED_D3.0mm_Clear",-56.551192,11.300527,-11.250000,bottom
"Q27","Q_Photo_NPN","LED_D3.0mm_Clear",-53.259953,22.115981,-22.500000,bottom
"Q28","Q_Photo_NPN","LED_D3.0mm_Clear",-47.921964,32.081530,-33.750000,bottom
"Q29","Q_Photo_NPN","LED_D3.0mm_Clear",-40.742361,40.814204,-45.000000,bottom
"Q30","Q_Photo_NPN","LED_D3.0mm_Clear",-31.902400,48.012200,-56.250000,bottom
"Q31","Q_Photo_NPN","LED_D3.0mm_Clear",-22.022114,53.298834,-67.500000,bottom
"Q32","Q_Photo_NPN","LED_D3.0mm_Clear",-11.176000,56.521200,-78.750000,bottom
"R1","R","R_0603_1608Metric",8.250459,55.273862,-98.437500,bottom
"R2","R","R_0603_1608Metric",18.875325,52.602206,-109.687500,bottom
"R3","R","R_0603_1608Metric",28.774822,47.909076,-120.937500,bottom
"R4","R","R_0603_1608Metric",37.568519,41.374826,-132.187500,bottom
"R5","R","R_0603_1608Metric",44.918478,33.250566,-143.437500,bottom
"R6","R","R_0603_1608Metric",50.542246,23.848505,-154.687500,bottom
"R7","R","R_0603_1608Metric",54.223703,13.529959,-165.937500,bottom
"R8","R","R_0603_1608Metric",55.821374,2.691465,-177.187500,bottom
"R9","R","R_0603_1608Metric",55.273860,-8.250461,171.562500,bottom
"R10","R","R_0603_1608Metric",52.602204,-18.875325,160.312500,bottom
"R11","R","R_0603_1608Metric",47.909074,-28.774822,149.062500,bottom
"R12","R","R_0603_1608Metric",41.374824,-37.568519,137.812500,bottom
"R13","R","R_0603_1608Metric",33.250564,-44.918478,126.562500,bottom
"R14","R","R_0603_1608Metric",23.848503,-50.542245,115.312500,bottom
"R15","R","R_0603_1608Metric",13.529957,-54.223702,104.062500,bottom
"R16","R","R_0603_1608Metric",2.691464,-55.821372,92.812500,bottom
"R17","R","R_0603_1608Metric",-8.250461,-55.273858,81.562500,bottom
"R18","R","R_0603_1608Metric",-18.875325,-52.602202,70.312500,bottom
"R19","R","R_0603_1608Metric",-28.774822,-47.909072,59.062500,bottom
"R20","R","R_0603_1608Metric",-37.568518,-41.374823,47.812500,bottom
"R21","R","R_0603_1608Metric",-44.918477,-33.250564,36.562500,bottom
"R22","R","R_0603_1608Metric",-50.542244,-23.848504,25.312500,bottom
"R23","R","R_0603_1608Metric",-54.223701,-13.529959,14.062500,bottom
"R24","R","R_0603_1608Metric",-55.821372,-2.691466,2.812500,bottom
"R25","R","R_0603_1608Metric",-55.273859,8.250459,-8.437500,bottom
"R26","R","R_0603_1608Metric",-52.602203,18.875323,-19.687500,bottom
"R27","R","R_0603_1608Metric",-47.909074,28.774820,-30.937500,bottom
"R28","R","R_0603_1608Metric",-41.374826,37.568517,-42.187500,bottom
"R29","R","R_0603_1608Metric",-33.250566,44.918476,-53.437500,bottom
"R30","R","R_0603_1608Metric",-23.848506,50.542244,-64.687500,bottom
"R31","R","R_0603_1608Metric",-13.529961,54.223702,-75.937500,bottom
"R32","R","R_0603_1608Metric",-2.691468,55.821373,-87.187500,bottom
"R33","R","R_0603_1608Metric",2.705702,54.040532,87.187500,bottom
