Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x10_Socket","IDC-Header_2x05_P2.54mm_Vertical",5.080000,-17.279600,90.000000,bottom
"U1","TSSP58038","Vishay_MINICAST-3Pin",-2.590800,44.417000,0.000000,bottom
"U2","TSSP58038","Vishay_MINICAST-3Pin",14.604063,42.027413,-22.500000,bottom
"U3","TSSP58038","Vishay_MINICAST-3Pin",29.575590,33.239534,-45.000000,bottom
"U4","TSSP58038","Vishay_MINICAST-3Pin",40.044501,19.391237,-67.500000,bottom
"U5","TSSP58038","Vishay_MINICAST-3Pin",44.417000,2.590800,-90.000000,bottom
"U6","TSSP58038","Vishay_MINICAST-3Pin",42.027413,-14.604063,-112.500000,bottom
"U7","TSSP58038","Vishay_MINICAST-3Pin",33.239534,-29.575590,-135.000000,bottom
"U8","TSSP58038","Vishay_MINICAST-3Pin",19.391237,-40.044501,-157.500000,bottom
"U9","TSSP58038","Vishay_MINICAST-3Pin",2.590800,-44.417000,180.000000,bottom
"U10","TSSP58038","Vishay_MINICAST-3Pin",-14.604063,-42.027413,157.500000,bottom
"U11","TSSP58038","Vishay_MINICAST-3Pin",-29.575590,-33.239534,135.000000,bottom
"U12","TSSP58038","Vishay_MINICAST-3Pin",-40.044501,-19.391237,112.500000,bottom
"U13","TSSP58038","Vishay_MINICAST-3Pin",-44.417000,-2.590800,90.000000,bottom
"U14","TSSP58038","Vishay_MINICAST-3Pin",-42.027413,14.604063,67.500000,bottom
"U15","TSSP58038","Vishay_MINICAST-3Pin",-33.239534,29.575590,45.000000,bottom
"U16","TSSP58038","Vishay_MINICAST-3Pin",-19.391237,40.044501,22.500000,bottom
"U19","open_mv","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal",-3.724600,19.834200,0.000000,bottom
