Ref,Val,Package,PosX,PosY,Rot,Side
"Brd1","SSD1306","PinHeader_1x04_P2.54mm_Vertical",20.447000,-37.752000,-90.000000,top
"C1","C_Small","C_0402_1005Metric",-5.181600,43.909000,90.000000,top
"C2","C_Small","C_0402_1005Metric",12.016073,42.549539,67.500000,top
"C3","C_Small","C_0402_1005Metric",27.384408,34.712296,45.000000,top
"C4","C_Small","C_0402_1005Metric",38.583715,21.590421,22.500000,top
"C5","C_Small","C_0402_1005Metric",43.909001,5.181600,0.000000,top
"C6","C_Small","C_0402_1005Metric",42.549540,-12.016073,-22.500000,top
"C7","C_Small","C_0402_1005Metric",34.712297,-27.384408,-45.000000,top
"C8","C_Small","C_0402_1005Metric",22.301200,-40.215800,112.500000,top
"C9","C_Small","C_0402_1005Metric",-21.590421,38.583715,112.500000,top
"C10","C_Small","C_0402_1005Metric",-34.712297,27.384408,135.000000,top
"C11","C_Small","C_0402_1005Metric",-42.549540,12.016073,157.500000,top
"C12","C_Small","C_0402_1005Metric",-43.909001,-5.181600,180.000000,top
"C13","C_Small","C_0402_1005Metric",-38.583715,-21.590421,-157.500000,top
"C14","C_Small","C_0402_1005Metric",-29.413200,-36.913800,45.000000,top
"C15","C_Small","C_0402_1005Metric",-12.016073,-42.549540,-112.500000,top
"C16","C_Small","C_0402_1005Metric",5.181600,-43.909001,-90.000000,top
"R1","R","R_0402_1005Metric",-4.267200,43.909000,-90.000000,top
"R2","R","R_0402_1005Metric",12.860868,42.199613,-112.500000,top
"R3","R","R_0402_1005Metric",28.030985,34.065718,-135.000000,top
"R4","R","R_0402_1005Metric",38.933639,20.745626,-157.500000,top
"R5","R","R_0402_1005Metric",43.909000,4.267201,180.000000,top
"R6","R","R_0402_1005Metric",42.199614,-12.860867,157.500000,top
"R7","R","R_0402_1005Metric",34.065719,-28.030985,135.000000,top
"R8","R","R_0402_1005Metric",21.386800,-40.622200,-67.500000,top
"R9","R","R_0402_1005Metric",-20.745627,38.933641,-67.500000,top
"R10","R","R_0402_1005Metric",-34.065719,28.030986,-45.000000,top
"R11","R","R_0402_1005Metric",-42.199615,12.860868,-22.500000,top
"R12","R","R_0402_1005Metric",-43.909002,-4.267201,0.000000,top
"R13","R","R_0402_1005Metric",-38.933641,-20.745627,22.500000,top
"R14","R","R_0402_1005Metric",-29.413200,-35.440600,-135.000000,top
"R15","R","R_0402_1005Metric",-12.860869,-42.199615,67.500000,top
"R16","R","R_0402_1005Metric",4.267201,-43.909002,90.000000,top
"R17","R","R_0402_1005Metric",12.344400,-35.491400,0.000000,top
"R18","R","R_0402_1005Metric",15.851600,-35.440600,180.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",19.404400,32.946800,180.000000,top
"SW2","SW_Push","SW_PUSH_6mm_H4.3mm",-10.441800,-37.654600,180.000000,top
"SW3","SW_Push","SW_PUSH_6mm_H4.3mm",-19.940200,-37.665200,180.000000,top
"SW4","SW_Push","SW_PUSH_6mm_H4.3mm",-0.915600,-37.665200,180.000000,top
"U17","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",0.000000,33.495000,180.000000,top
"U18","Seeeduino_Xiao","seeeduinoXIAO",-0.101600,27.729200,0.000000,top
