Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Brd1,SSD1306,PinHeader_1x04_P2.54mm_Vertical,20.447,-37.752,-90,top
C1,C_Small,C_0402_1005Metric,-5.1816,43.909,90,top
C2,C_Small,C_0402_1005Metric,12.016073,42.549539,67.5,top
C3,C_Small,C_0402_1005Metric,27.384408,34.712296,45,top
C4,C_Small,C_0402_1005Metric,38.583715,21.590421,22.5,top
C5,C_Small,C_0402_1005Metric,43.909001,5.1816,0,top
C6,C_Small,C_0402_1005Metric,42.54954,-12.016073,-22.5,top
C7,C_Small,C_0402_1005Metric,34.712297,-27.384408,-45,top
C8,C_Small,C_0402_1005Metric,22.3012,-40.2158,112.5,top
C9,C_Small,C_0402_1005Metric,-21.590421,38.583715,112.5,top
C10,C_Small,C_0402_1005Metric,-34.712297,27.384408,135,top
C11,C_Small,C_0402_1005Metric,-42.54954,12.016073,157.5,top
C12,C_Small,C_0402_1005Metric,-43.909001,-5.1816,180,top
C13,C_Small,C_0402_1005Metric,-38.583715,-21.590421,-157.5,top
C14,C_Small,C_0402_1005Metric,-29.4132,-36.9138,45,top
C15,C_Small,C_0402_1005Metric,-12.016073,-42.54954,-112.5,top
C16,C_Small,C_0402_1005Metric,5.1816,-43.909001,-90,top
R1,R,R_0402_1005Metric,-4.2672,43.909,-90,top
R2,R,R_0402_1005Metric,12.860868,42.199613,-112.5,top
R3,R,R_0402_1005Metric,28.030985,34.065718,-135,top
R4,R,R_0402_1005Metric,38.933639,20.745626,-157.5,top
R5,R,R_0402_1005Metric,43.909,4.267201,180,top
R6,R,R_0402_1005Metric,42.199614,-12.860867,157.5,top
R7,R,R_0402_1005Metric,34.065719,-28.030985,135,top
R8,R,R_0402_1005Metric,21.3868,-40.6222,-67.5,top
R9,R,R_0402_1005Metric,-20.745627,38.933641,-67.5,top
R10,R,R_0402_1005Metric,-34.065719,28.030986,-45,top
R11,R,R_0402_1005Metric,-42.199615,12.860868,-22.5,top
R12,R,R_0402_1005Metric,-43.909002,-4.267201,0,top
R13,R,R_0402_1005Metric,-38.933641,-20.745627,22.5,top
R14,R,R_0402_1005Metric,-29.4132,-35.4406,-135,top
R15,R,R_0402_1005Metric,-12.860869,-42.199615,67.5,top
R16,R,R_0402_1005Metric,4.267201,-43.909002,90,top
R17,R,R_0402_1005Metric,12.3444,-35.4914,0,top
R18,R,R_0402_1005Metric,15.8516,-35.4406,180,top
SW1,SW_Push,SW_PUSH_6mm_H4.3mm,19.4044,32.9468,180,top
SW2,SW_Push,SW_PUSH_6mm_H4.3mm,-10.4418,-37.6546,180,top
SW3,SW_Push,SW_PUSH_6mm_H4.3mm,-19.9402,-37.6652,180,top
SW4,SW_Push,SW_PUSH_6mm_H4.3mm,-0.9156,-37.6652,180,top
U17,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,0,33.495,180,top
U18,Seeeduino_Xiao,seeeduinoXIAO,-0.1016,27.7292,0,top
